term,tag,value
абажур,NEUT,0.08
аббатство,NEUT,0.1
аббревиатура,NEUT,0.08
абзац,NEUT,0.0
абиссинец,NEUT,0.28
абитуриент,NEUT,0.23
абитуриентка,NEUT,0.34
абонемент,NEUT,0.18
абонементный,NEUT,0.19
абонент,NEUT,0.0
абонентный,NEUT,0.0
абонентский,NEUT,0.0
абордаж,NGTV,-0.45
абордажный,NEUT,-0.19
абориген,NEUT,-0.02
аборигенка,NEUT,0.02
аборигенный,NEUT,-0.08
аборт,NGTV,-0.68
абразив,NEUT,0.0
абракадабра,NEUT,-0.17
абрикос,PSTV,0.57
абрикосовый,NEUT,0.51
абсолют,NEUT,0.45
абсолютизировать,NEUT,0.19
абсолютизм,NEUT,0.24
абсолютность,NEUT,0.41
абсолютный,NEUT,0.32
абсорбировать,NEUT,0.24
абстрагирование,NEUT,0.0
абстрагировать,NEUT,0.05
абстрагироваться,NEUT,0.06
абстрактность,NEUT,0.0
абстрактный,NEUT,0.0
абстракционизм,NEUT,0.05
абстракционист,NEUT,0.13
абстракция,NEUT,0.09
абсурд,NGTV,-0.95
абсурдность,NGTV,-1.0
абсурдный,NGTV,-0.9
абсцесс,NGTV,-0.65
абхаз,NEUT,0.16
абхазы,NEUT,0.11
авангард,NEUT,0.52
авангардизм,NEUT,0.05
авангардный,NEUT,0.5
аванс,NEUT,0.53
авансовый,NEUT,0.41
авантюра,NGTV,-0.58
авантюризм,NGTV,-0.37
авантюрист,NGTV,-0.37
авантюристический,NEUT,0.38
авантюристка,NGTV,-0.49
авантюристский,NGTV,-0.36
авантюрность,NEUT,0.33
авантюрный,NEUT,0.4
аварийка,NEUT,-0.2
аварийность,NGTV,-0.71
аварийный,NGTV,-0.98
аварийщик,NEUT,0.26
авария,NGTV,-1.0
аватарка,NEUT,0.2
август,NEUT,0.19
августовский,NEUT,0.15
авеню,NEUT,0.0
авиабаза,NEUT,0.0
авиабензин,NEUT,0.0
авиабилет,NEUT,0.07
авиабомба,NGTV,-1.0
авиабригада,NEUT,0.21
авиагородок,NEUT,0.24
авиадесантный,NEUT,0.19
авиадивизия,NEUT,0.36
авиадиспетчер,NEUT,0.28
авиазавод,NEUT,0.27
авиакасса,NEUT,0.11
авиакатастрофа,NGTV,-1.0
авиаклуб,NEUT,0.3
авиакомпания,NEUT,0.33
авиаконструктор,NEUT,0.43
авиакорпус,NEUT,0.0
авиакрыло,NEUT,0.0
авиалайнер,NEUT,0.37
авиалиния,NEUT,0.0
авиамеханик,NEUT,0.25
авиамодельный,NEUT,0.09
авиамоторный,NEUT,0.0
авианаводчик,NEUT,0.16
авианалёт,NGTV,-0.76
авианосец,NEUT,0.33
авиаотряд,NEUT,0.24
авиапарк,NEUT,0.33
авиаперелёт,NEUT,0.03
авиапочта,NEUT,0.25
авиапромышленность,NEUT,0.29
авиаразведка,NEUT,0.03
авиарейс,NEUT,0.14
авиасалон,NEUT,0.24
авиасоединение,NEUT,0.26
авиастроение,NEUT,0.38
авиастроительный,NEUT,0.17
авиатехник,NEUT,0.22
авиатор,NEUT,0.18
авиаторский,NEUT,0.21
авиатранспорт,NEUT,0.31
авиаудар,NGTV,-0.74
авиационный,NEUT,0.0
авиация,NEUT,0.32
авиачасть,NEUT,0.22
авиашкола,NEUT,0.29
авитаминоз,NGTV,-1.0
авитаминозный,NGTV,-0.91
авокадо,NEUT,0.44
авоська,NEUT,0.0
аврора,NEUT,0.48
австралиец,NEUT,0.09
австралийка,NEUT,0.01
австралийский,NEUT,0.01
австралопитек,NEUT,0.26
австриец,NEUT,0.04
австрийка,NEUT,0.0
австрийский,NEUT,0.1
австро-венгерский,NEUT,0.08
авто,NEUT,0.08
автобаза,NEUT,0.22
автобан,NEUT,-0.16
автобиографический,NEUT,0.1
автобиографичность,NEUT,0.08
автобиография,NEUT,0.24
автобус,NEUT,0.18
автобусик,PSTV,0.8
автобусный,NEUT,0.0
автовладелец,NEUT,0.38
автовокзал,NEUT,0.03
автогонка,NEUT,0.08
автогонки,NEUT,0.35
автогонщик,NEUT,0.0
автограф,NEUT,0.42
автодорога,NEUT,0.0
автодорожный,NEUT,0.0
автодром,NEUT,0.23
автозавод,NEUT,0.13
автозак,NGTV,-0.55
автозаправка,NEUT,0.02
автозаправочный,NEUT,0.0
автоинспектор,NEUT,0.17
автоинспекция,NEUT,0.18
автокатастрофа,NGTV,-1.0
автоклуб,NEUT,0.16
автоколонна,NEUT,0.0
автокран,NEUT,0.1
автокресло,NEUT,0.38
автолавка,NEUT,0.2
автоледи,NEUT,0.25
автолюбитель,NEUT,0.4
автомагазин,NEUT,0.21
автомагистраль,NEUT,0.0
автомагнитола,NEUT,0.16
автомастерская,NEUT,0.04
автомат,NEUT,-0.2
автоматизация,NEUT,0.47
автоматизировать,NEUT,0.4
автоматизм,NEUT,0.08
автоматика,NEUT,0.47
автоматически,NEUT,0.0
автоматический,NEUT,0.0
автоматный,NEUT,0.1
автоматчик,NEUT,-0.28
автомашина,NEUT,0.27
автомобилестроение,NEUT,0.39
автомобилестроительный,NEUT,0.05
автомобилизация,NEUT,0.08
автомобилист,NEUT,0.0
автомобиль,NEUT,0.31
автомобильный,NEUT,0.1
автомобильчик,NEUT,0.53
автомойка,NEUT,0.13
автомоторный,NEUT,0.1
автономизация,NEUT,0.29
автономия,NEUT,0.21
автономность,NEUT,0.37
автономный,NEUT,0.0
автопарк,NEUT,0.2
автопилот,NEUT,0.32
автопогрузчик,NEUT,0.1
автопоезд,NEUT,0.03
автопортрет,NEUT,0.02
автоприцеп,NEUT,0.0
автопробег,NEUT,0.22
автопроизводитель,NEUT,0.32
автопром,NEUT,0.0
автор,NEUT,0.28
авторемонтный,NEUT,0.19
автореферат,NEUT,0.2
авторизация,NEUT,0.05
авторитаризм,NGTV,-0.57
авторитарность,NGTV,-0.35
авторитарный,NGTV,-0.39
авторитет,PSTV,0.9
авторитетность,PSTV,0.89
авторитетный,PSTV,0.97
авторский,NEUT,0.4
авторство,PSTV,0.55
авторучка,NEUT,0.21
авторша,NEUT,0.34
авторынок,NEUT,0.0
автосалон,NEUT,0.0
автосервис,NEUT,0.23
автослесарь,NEUT,0.08
автоспорт,NEUT,0.38
автостанция,NEUT,0.14
автостоп,NEUT,0.06
автостопщик,NEUT,0.1
автострада,NEUT,0.0
автотранспорт,NEUT,0.38
автотранспортный,NEUT,0.05
автотрасса,NEUT,0.0
автоугон,NGTV,-1.0
автоугонщик,NGTV,-1.0
автофургон,NEUT,0.03
автохозяйство,NEUT,0.23
автоцентр,NEUT,0.04
автоцистерна,NEUT,0.0
автошкола,NEUT,0.3
агар-агар,NEUT,0.0
агатовый,NEUT,0.1
агент,NEUT,0.12
агентка,NEUT,0.16
агентский,NEUT,0.0
агентство,NEUT,0.07
агентша,NEUT,0.04
агитационный,NEUT,0.39
агитация,NEUT,-0.21
агитбригада,NEUT,0.34
агитировать,NEUT,0.22
агнец,NEUT,0.49
агония,NGTV,-1.0
аграрный,NEUT,0.21
агрегат,NEUT,0.09
агрессивность,NGTV,-1.0
агрессивный,NGTV,-1.0
агрессия,NGTV,-1.0
агрессор,NGTV,-0.92
агрокультура,NEUT,0.3
агроном,NEUT,0.33
агрономический,NEUT,0.03
агрономия,NEUT,0.43
агротехнический,NEUT,0.0
адаптационный,NEUT,0.44
адаптация,PSTV,0.59
адаптер,NEUT,0.31
адаптивность,PSTV,0.74
адаптивный,PSTV,0.6
адаптированность,PSTV,0.9
адаптировать,PSTV,0.73
адвокат,NEUT,0.32
адвокатский,NEUT,0.03
адвокатура,NEUT,0.22
адвокатша,NEUT,0.21
адекватность,PSTV,0.9
адекватный,PSTV,1.0
адепт,NEUT,0.22
аджика,NEUT,0.31
адидас,NEUT,0.08
админ,NEUT,0.21
административный,NEUT,0.06
администратор,NEUT,0.24
администраторский,NEUT,0.0
администраторша,NEUT,0.17
администрация,NEUT,0.08
администрирование,NEUT,0.29
адмирал,NEUT,0.46
адмиралтейский,NEUT,0.05
адмиралтейство,NEUT,0.22
адмиральский,NEUT,0.34
