channel_name,text,date,
Всевидящее ОКО 🇺🇦 | Новини Україна,"**Сегодня отмечается международная неделя Клоунов 
**
Ты знаешь, кого нужно поздравить.

[ПОДПИСАТЬСЯ](https://t.me/+Kw603H3-HAJkNTEy) ✅ [Покупаем контент](http://t.me/content_tut_bot)",2023-08-01,Other
Всевидящее ОКО 🇺🇦 | Новини Україна,"**Бойцы ВС РФ прямо сейчас отражают атаку беспилотников на крымский мост

**[ПОДПИСАТЬСЯ](https://t.me/+Kw603H3-HAJkNTEy) ✅ [Покупаем контент](http://t.me/content_tut_bot)",2023-08-04,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"Історія з офісами телефонних шахраїв заграла яскравими фарбами. По-перше, луплять ці офіси проросійський депутат Дмитрук, непомітний всю війну депутат Куніцкій та одіозний депутат Коля Тищенко. Все це говорить про те, що питання справедливості не стоїть, це банальна робота по перерозподілу ринка. 

По-друге, росіянам дуже не подобаються українські колл-центри.

По-третє, Джокер нарешті повідомив, що Коля Тищенко його брат. Наступним кроком скорійш за асе визнає, що Олег Ляшко його сестра. 

Історія дуже зашкварная з усіх боків. 
А враховуючи, що Коля ще й кришує один конкретний чотирьох поверховий кол-центр, взагалі яскрава.

Будемо спостерігати за тим як розвивається ця двіжуха і як депутат Думи РФ  Міронов дає вказівки Джокеру та Дмитруку.

І ще раз хочу звернутись до силовиків: Будь ласка, приберіть зашкварних депутатів від цієї справи, вони її дискредитують.",2023-08-09,Corruption
Всевидящее ОКО 🇺🇦 | Новини Україна,"**Самый популярный блогер в мире MrBeast выпустил видео, в котором обозначил Крым как часть России**

В ролике была показана соответствующая карта.

[ПОДПИСАТЬСЯ](https://t.me/+Kw603H3-HAJkNTEy) ✅ [Покупаем контент](http://t.me/content_tut_bot)",2023-08-19,Political
Всевидящее ОКО 🇺🇦 | Новини Україна,"**🔥**** Точно в цель: впечатляющая эффективность использования FPV-дронов по живой силе русских 

**[ПОДПИСАТЬСЯ](https://t.me/+Kw603H3-HAJkNTEy) ✅ [Покупаем контент](http://t.me/content_tut_bot)",2023-08-26,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"❗️**Российские **[**атаки**](https://www.reuters.com/world/europe/ukraine-primes-air-defences-new-russian-winter-assault-power-grid-2023-09-07/)** на энергетическую инфраструктуру могут начаться в конце сентября или начале октября**, — представитель ГУР Скибицкий 

[ПОДПИСАТЬСЯ](https://t.me/+Kw603H3-HAJkNTEy) ✅ [Покупаем контент](http://t.me/content_tut_bot)",2023-09-07,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"**В Ровенской области физрук избивал своего ученика **

Причина конфликта неизвестна.

[ПОДПИСАТЬСЯ](https://t.me/+Kw603H3-HAJkNTEy) ✅ [Покупаем контент](http://t.me/content_tut_bot)",2023-09-15,Other
Всевидящее ОКО 🇺🇦 | Новини Україна,"**— Яким чином ви наближаєте перемогу?
— «Разговариваю на русском», «Отправляю СМС людям, когда воздушная тревога».** 

Ответы убили.

[ПОДПИСАТЬСЯ](https://t.me/+Kw603H3-HAJkNTEy) ✅ [Покупаем контент](http://t.me/content_tut_bot)",2023-09-20,Other
Всевидящее ОКО 🇺🇦 | Новини Україна,"**Lamborghini Urus VS БМП** 

Тренд можно закрывать, лучше уже не будет.

[ПОДПИСАТЬСЯ](https://t.me/+Kw603H3-HAJkNTEy) ✅ [Покупаем контент](http://t.me/content_tut_bot)",2023-09-28,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"**+1 причина, почему женщины живут дольше мужчин

**[ПОДПИСАТЬСЯ](https://t.me/+Kw603H3-HAJkNTEy) ✅ [Покупаем контент](http://t.me/content_tut_bot)",2023-09-30,Other
Всевидящее ОКО 🇺🇦 | Новини Україна,"🐳 **Украина стала главным получателем оружия Германии, **— The Guardian **

**В этом году Берлин [изменил](https://www.theguardian.com/world/live/2023/oct/02/russia-ukraine-war-live-updates-joe-biden-us-support-for-ukraine-speech-rishi-sunak-uk-instructors) свою политику и выделил в 4 раза больше денег, чем в прошлом (приблизительно 3,3 миллиарда евро).

[ПОДПИСАТЬСЯ](https://t.me/+Kw603H3-HAJkNTEy) ✅ [Покупаем контент](http://t.me/content_tut_bot)",2023-10-02,Political
Всевидящее ОКО 🇺🇦 | Новини Україна,"**В России учитель и школота поздравили Путина с Днем рождения портретами Бандеры 

**Пранкер прислал учителям калужской школы задание якобы от регионального отделения ""Единая Россия"" поздравить Путина с Днем рождения. Но на плакатах, которыми надо было его поздравить, были размещены** фотографии Бандеры и его цитаты.

**[ПОДПИСАТЬСЯ](https://t.me/+Kw603H3-HAJkNTEy) ✅ [Покупаем контент](http://t.me/content_tut_bot)",2023-10-05,Political
Всевидящее ОКО 🇺🇦 | Новини Україна,"**«Це від сатани, це той, що у московії при всіх знімав штани?»

**Потапа в Іспанії зовсім поплавило. На хейт у коментах він відповів коротко: «Якби всіх так не хейтили як мене, популярних артистів стало би 100 разів більше».

[ПОДПИСАТЬСЯ](https://t.me/+Kw603H3-HAJkNTEy) ✅ [Покупаем контент](http://t.me/content_tut_bot)",2023-10-06,Other
Всевидящее ОКО 🇺🇦 | Новини Україна,"**Израиль. Центр Сдерота после обстрела. Лежат трупы людей

**Судя по фото и видео, которые публикуют палестинцы, они подбили ряд единиц израильской бронетехники, включая танк ""Меркава"".

Также есть видео боевиков, которые проезжают по улицам неизвестного города с криками ""Аллах Акбар"". На других кадрах они кладут на землю местных жителей.

[ПОДПИСАТЬСЯ](https://t.me/+Kw603H3-HAJkNTEy) ✅ [Покупаем контент](http://t.me/content_tut_bot)",2023-10-07,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"**Момент прилёта ракеты на юге Израиля

**По данным местных СМИ, **более 100 израильтян получили ранения **в результате ракетных обстрелов.

[ПОДПИСАТЬСЯ](https://t.me/+Kw603H3-HAJkNTEy) ✅ [Покупаем контент](http://t.me/content_tut_bot)",2023-10-07,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"**«Пятница 13 октября — Всемирный еврейский погром»**, - один из лидеров ХАМАСа

Халед Машаль [выступил](https://twitter.com/BrotherRasheed/status/1711933917098316276) с призывом ко всем мусульманам мира — **«устроить евреям настоящий погром»** (то есть убивать, насиловать и брать в плен).

Он призвал повсюду «повторять действия ХАМАСа» уже послезавтра.

[ПОДПИСАТЬСЯ](https://t.me/+Kw603H3-HAJkNTEy) ✅ [Покупаем контент](http://t.me/content_tut_bot)",2023-10-11,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"**Два нових автотрансформатори від Японії та програми розвитку ООН

**Обладнання [підтримуватиме](https://m.facebook.com/minenergoUkraine/videos/-за-координації-міненерго-україна-отримала-два-нових-автотрансформатори-від-проо/177573105396368/) українську енергосистему перед початком осінньо-зимового періоду.

Воно встановлене на підстанції ""Укренерго"" та **допоможе у забезпеченні світлом 500 тис. споживачів.**

[ПОДПИСАТЬСЯ](https://t.me/+Kw603H3-HAJkNTEy) ✅ [Покупаем контент](http://t.me/content_tut_bot)",2023-10-15,Economical
Всевидящее ОКО 🇺🇦 | Новини Україна,"Даже голубь может угрожать вашей жизни

[ПІДПИСАТИСЬ](https://t.me/+Kw603H3-HAJkNTEy) ✅ [Купуємо контент](http://t.me/content_tut_bot)",2023-10-16,Other
Всевидящее ОКО 🇺🇦 | Новини Україна,"**🐳**** СБУ атакувала великий військовий табір біля аеродрому у Курській області РФ

**Біля військового аеродрому ""Халіно"" розміщувались до 3 тисяч російських військових та 80 одиниць військової техніки.

Ураження були потужними — **щонайменше 18 влучань дронів СБУ по табору. 

**[ПІДПИСАТИСЬ](https://t.me/+Kw603H3-HAJkNTEy) ✅ [Купуємо контент](http://t.me/content_tut_bot)",2023-10-18,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"**UPD: **Парень, который якобы лежит на асфальте — достаточно известный Тиктокер

В полиции Киева **не подтвердили вызов** по этому случаю, но и в его социальных сетях никакого опровержения нет. 

Подписчики бомбят в комментариях на странице блогера вопросами, что с их кумиром. 

Хайпует что ли?

[ПОДПИСАТЬСЯ](https://t.me/+Kw603H3-HAJkNTEy) ✅ [Покупаем контент](http://t.me/content_tut_bot)",2023-10-24,Other
